ID_Puesto,Nombre_Puesto,categoria_rol
1,Auxiliar de farmacia,Soporte & IT
2,Tecnico Electrico,Soporte & IT
3,Técnico de Mantenimiento,Soporte & IT
4,Auditor de IT,Soporte & IT
5,Técnico electricista,Soporte & IT
6,Técnico de refrigeración y A/A,Soporte & IT
7,Asesor de Soporte Técnico,Soporte & IT
8,Técnico de Reefer,Soporte & IT
9,Técnico instalador de redes y sistemas de seguridad,Soporte & IT
10,Técnico Senior de Mantenimiento HVAC,Soporte & IT
11,Soporte técnico,Soporte & IT
12,Técnico Electromecánico,Soporte & IT
13,Técnico de mantenimiento industrial,Soporte & IT
14,Perforador Horizontal dirigido,Soporte & IT
15,DevOps Softwareentwickler,DevOps & Cloud
16,Platform Engineer,DevOps & Cloud
17,IT Projektmanager Softwareentwicklung,Gestión & Agile
18,Full Stack Java Entwickler,Fullstack
19,Softwareentwickler C++ / Qt,Backend
20,System Engineer Requirements & Systemarchitektur,Gestión & Agile
21,Financial Analyst Corporate Finance,Data & Analytics
22,Testmanager Software und Systemtests (m/w/d),Data & Analytics
23,IT Business Analyst,Gestión & Agile
24,IT Projektmanager Software Implementierung,Gestión & Agile
25,Senior AI Engineer / MLOps Engineer,Data & Analytics
26,Senior SAP BTP Developer,Fullstack
27,Product Engineer,Fullstack
28,Founding Engineer,Fullstack
29,Investment Analyst mit Marketingerfahrung,Data & Analytics
30,Dual Studium - Web Developer,Fullstack
31,Full Stack Developer,Fullstack
32,Junior Web Developer,Fullstack
33,Robot Perception/ML Engineer,Data & Analytics
34,Senior Microsoft Cloud Transformation Architect,DevOps & Cloud
35,SAP Data & Analytics Consultant,Data & Analytics
36,Senior Azure Cloud Platform Architect (m/w/d),Frontend
37,Senior Microsoft AI & Copilot Engineer,Data & Analytics
38,Senior Linux Developer,Backend
39,Applied Scientist / Machine Learning Engineer,Data & Analytics
40,IT-Forensiker / Analysten,Soporte & IT
41,Product Manager / Business Analyst,Gestión & Agile
42,Lead QA Engineer,Gestión & Agile
43,Senior Fullstack Developer,Fullstack
44,"Werkstudent:in DevOps, Infrastruktur & Automatisierung",DevOps & Cloud
45,Netzwerk Engineer,Soporte & IT
46,Senior Software Engineer (Perception & Autonomous Systems),Backend
47,Senior Software Engineer - Enterprise AI,Fullstack
48,Senior Full-Stack Engineer (Backend Focus),Fullstack
49,Software Entwickler,Backend
50,Senior Software Engineer - Device Connectivity,Backend
51,Software Developer Junior,Backend
52,Founding Engineering Team Lead,Gestión & Agile
53,Senior Python Engineer,Backend
54,Data Analyst / Scientist,Data & Analytics
55,Senior Software Developer,Fullstack
56,Senior Full Stack Java Entwickler,Fullstack
57,Software Developer / Mentor (AI Software Engineering Bootcamp),Backend
58,Software-Entwickler:in / Mentor:in (AI Software Engineering Bootcamp),Fullstack
59,Senior Data Scientist,Data & Analytics
60,Engineering Manager,Gestión & Agile
61,Senior System Engineer,DevOps & Cloud
62,Professional System Engineer,DevOps & Cloud
63,Electrical Engineer,Soporte & IT
64,Embedded Software Engineer,Backend
65,SAP MaKo Cloud Consultant,DevOps & Cloud
66,Voice AI Engineer,Data & Analytics
67,Machine Learning Engineer,Data & Analytics
68,TouchDesigner Developer,Frontend
69,Cloud Engineer,DevOps & Cloud
70,Werkstudent:in in der Softwareentwicklung,Fullstack
71,"Senior Software Engineer, Core Experiences",Fullstack
72,Product Marketing Manager,Gestión & Agile
73,Software Engineer (Fullstack),Fullstack
74,Working Student Finance Data & Analytics,Data & Analytics
75,Full Stack Engineer,Fullstack
76,Trainee IT-Projektmanagement - Schwerpunkt Requirements Engineering / Business Analyse,Gestión & Agile
77,Senior Python Developer,Backend
78,Python Developer - Data Extraction,Data & Analytics
79,Senior AI Engineer,Data & Analytics
80,Senior Data Engineer,Data & Analytics
81,Agentic AI Engineer,Data & Analytics
82,Leiter Softwareentwicklung,Gestión & Agile
83,Flutter/Full-Stack Developer,Fullstack
84,"Software Engineer, Data Infrastructure & Acquisition",Data & Analytics
85,"Senior Software Engineer, Windows/Desktop Applications",Mobile
86,"Software Engineer, Platform",Backend
87,Werkstudent Software Testing / Qualitätssicherung,Soporte & IT
88,AI Integration Engineer,Data & Analytics
89,"AI Developer (Materials, Chemistry, Knowledge Graphs, Ontologies)",Data & Analytics
90,Software Engineer (Frontend) - Intern,Frontend
91,Senior Full-Stack Engineer,Fullstack
92,E-Commerce Shopware Developer,Backend
93,Senior Full Stack Software Engineer,Fullstack
94,Head of Software Engineering,Gestión & Agile
95,Senior Consultant Software Asset Management & Microsoft Lizenzberatung,Gestión & Agile
96,Senior Engineering Manager,Gestión & Agile
97,AWS Cloud Data Engineer,Data & Analytics
98,Desarrollador de Software,Backend
99,Praxissemester Softwareentwicklung,Backend
100,Fullstack Entwickler,Fullstack
101,BI Engineer,Data & Analytics
102,UI Developer,Frontend
103,Product Owner,Gestión & Agile
104,DevOps Engineer,DevOps & Cloud
105,Backend Developer,Backend
106,Mobile Developer,Mobile
107,Cloud Infrastructure Specialist,DevOps & Cloud
108,React Developer,Frontend
109,Administrador de Sistemas,Soporte & IT
110,Java Engineer,Backend
111,IT Project Manager,Gestión & Agile
112,Android Developer,Mobile
113,Python Developer,Backend
114,Fullstack Engineer,Fullstack
115,Data Scientist,Data & Analytics
116,Ingeniero de Soporte,Soporte & IT
117,Data Analyst,Data & Analytics
118,.NET Consultant,Backend
119,Desarrollador Web Fullstack,Fullstack
120,Administrador Cloud,DevOps & Cloud
121,Soporte Técnico IT,Soporte & IT
122,iOS App Developer,Mobile
123,Scrum Master,Gestión & Agile
124,Frontend Developer,Frontend
125,Analista de Datos,Data & Analytics
